Year,Industry_Section,Industry,Accident_Kind,Fatal_Workers,Fatal_Employees,Fatal_SelfEmployed,Severity,Year_Clean,Industry_Short
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Contact with moving machinery,2,0,2,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]","Struck by moving, including flying/falling, object",4,1,3,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Struck by moving vehicle,6,4,2,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Strike against something fixed or stationary,0,0,0,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]","Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]","Slips, trips or falls on same level",0,0,0,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Falls from a height,5,2,3,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Trapped by something collapsing/overturning,1,1,0,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Drowning or asphyxiation,4,3,1,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]","Exposure to, or contact with, a harmful substance",0,0,0,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Exposure to fire,0,0,0,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Exposure to an explosion,0,0,0,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Contact with electricity or electrical discharge,0,0,0,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Injured by an animal,7,1,6,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Acts of violence,0,0,0,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
