Year,Industry_Section,Industry,Accident_Kind,Total_NonFatal,Specified_Injuries,Over7Day_Injuries,Pct_Total,Pct_Specified,Pct_Over7Day,Severity,Year_Clean,Industry_Short
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Contact with moving machinery,92,36,56,0.1,0.1,0.1,Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]","Struck by moving, including flying/falling, object",111,48,63,0.12,0.13,0.11,Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Struck by moving vehicle,25,11,14,0.03,0.03,0.03,Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Strike against something fixed or stationary,30,10,20,0.03,0.03,0.04,Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]","Injured while handling, lifting or carrying",120,16,104,0.13,0.04,0.19,Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]","Slips, trips or falls on same level",199,89,110,0.22,0.25,0.2,Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Falls from a height,115,64,51,0.13,0.18,0.09,Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Trapped by something collapsing/overturning,9,3,6,[k],[k],0.01,Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Drowning or asphyxiation,2,2,0,[k],[k],0,Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]","Exposure to, or contact with, a harmful substance",13,1,12,0.01,[k],0.02,Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Exposure to fire,5,3,2,[k],[k],[k],Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Exposure to an explosion,7,5,2,[k],0.01,[k],Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Contact with electricity or electrical discharge,1,1,0,[k],[k],0,Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Injured by an animal,85,47,38,0.09,0.13,0.07,Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Acts of violence,2,1,1,[k],[k],[k],Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Other kind of accident,95,19,76,0.1,0.05,0.14,Non-Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,B,Mining and quarrying [Note 3],Contact with moving machinery,16,3,13,0.07,0.05,0.08,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],"Struck by moving, including flying/falling, object",35,10,25,0.16,0.16,0.16,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],Struck by moving vehicle,4,2,2,0.02,0.03,0.01,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],Strike against something fixed or stationary,7,4,3,0.03,0.06,0.02,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],"Injured while handling, lifting or carrying",44,6,38,0.2,0.09,0.24,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],"Slips, trips or falls on same level",65,24,41,0.29,0.38,0.26,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],Falls from a height,25,14,11,0.11,0.22,0.07,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],Trapped by something collapsing/overturning,1,0,1,[k],0,[k],Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],"Exposure to, or contact with, a harmful substance",2,0,2,[k],0,0.01,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],Exposure to fire,1,0,1,[k],0,[k],Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],Exposure to an explosion,0,0,0,0,0,0,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],Contact with electricity or electrical discharge,0,0,0,0,0,0,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],Injured by an animal,0,0,0,0,0,0,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],Acts of violence,0,0,0,0,0,0,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,B,Mining and quarrying [Note 3],Other kind of accident,23,1,22,0.1,0.02,0.14,Non-Fatal,2014/15,Mining and quarrying [Note 3]
2014/15,C,Manufacturing,Contact with moving machinery,1690,401,1289,0.13,0.14,0.12,Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,"Struck by moving, including flying/falling, object",1624,402,1222,0.12,0.14,0.12,Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Struck by moving vehicle,296,106,190,0.02,0.04,0.02,Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Strike against something fixed or stationary,590,117,473,0.04,0.04,0.04,Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,"Injured while handling, lifting or carrying",3262,270,2992,0.24,0.09,0.28,Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,"Slips, trips or falls on same level",2977,933,2044,0.22,0.32,0.19,Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Falls from a height,885,429,456,0.07,0.15,0.04,Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Trapped by something collapsing/overturning,78,38,40,[k],0.01,[k],Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Drowning or asphyxiation,2,2,0,[k],[k],0,Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,"Exposure to, or contact with, a harmful substance",229,21,208,0.02,[k],0.02,Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Exposure to fire,57,12,45,[k],[k],[k],Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Exposure to an explosion,14,4,10,[k],[k],[k],Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Contact with electricity or electrical discharge,37,7,30,[k],[k],[k],Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Injured by an animal,11,2,9,[k],[k],[k],Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Acts of violence,10,4,6,[k],[k],[k],Non-Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Other kind of accident,1717,199,1518,0.13,0.07,0.14,Non-Fatal,2014/15,Manufacturing
2014/15,D,"Electricity, gas, steam and air conditioning supply",Contact with moving machinery,13,5,8,0.04,0.04,0.04,Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply","Struck by moving, including flying/falling, object",40,14,26,0.12,0.13,0.12,Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Struck by moving vehicle,5,1,4,0.02,[k],0.02,Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Strike against something fixed or stationary,9,4,5,0.03,0.04,0.02,Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply","Injured while handling, lifting or carrying",70,12,58,0.22,0.11,0.27,Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply","Slips, trips or falls on same level",100,43,57,0.31,0.38,0.27,Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Falls from a height,41,23,18,0.13,0.21,0.08,Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
